method split prec recall MCC auc f1 acc
X 1 0.615384615385 0.592592592593 0.235761796204 0.617724867725 0.603773584906 0.618181818182
X 2 0.85 0.62962962963 0.542984181738 0.761243386243 0.723404255319 0.763636363636
X 3 0.740740740741 0.714285714286 0.455026455026 0.727513227513 0.727272727273 0.727272727273
X 4 0.72 0.642857142857 0.385129218563 0.691798941799 0.679245283019 0.690909090909
X 5 0.583333333333 0.518518518519 0.1490711985 0.574074074074 0.549019607843 0.574074074074
X 6 0.642857142857 0.666666666667 0.296499726664 0.648148148148 0.654545454545 0.648148148148
X 7 0.695652173913 0.592592592593 0.337052648823 0.666666666667 0.64 0.666666666667
X 8 0.76 0.703703703704 0.48280787926 0.740740740741 0.730769230769 0.740740740741
X 9 0.857142857143 0.666666666667 0.569802882298 0.777777777778 0.75 0.777777777778
X 10 0.695652173913 0.592592592593 0.337052648823 0.666666666667 0.64 0.666666666667
test on itself: 1.0 1.0 1.0 1.0 1.0 1.0
