#cov key
0 0
289 7_15
355 2_7_15
393 36_2_7_15
416 3_36_2_7_15
433 64_3_36_2_7_15
444 34_64_3_36_2_7_15
453 67_34_64_3_36_2_7_15
458 29_67_34_64_3_36_2_7_15
461 62_29_67_34_64_3_36_2_7_15
464 14_62_29_67_34_64_3_36_2_7_15
465 60_14_62_29_67_34_64_3_36_2_7_15
466 76_60_14_62_29_67_34_64_3_36_2_7_15
467 57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 13_46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 22_13_46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 31_22_13_46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 48_31_22_13_46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 30_48_31_22_13_46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 42_30_48_31_22_13_46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 0_42_30_48_31_22_13_46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 9_0_42_30_48_31_22_13_46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 38_9_0_42_30_48_31_22_13_46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 6_38_9_0_42_30_48_31_22_13_46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 27_6_38_9_0_42_30_48_31_22_13_46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 58_27_6_38_9_0_42_30_48_31_22_13_46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 11_58_27_6_38_9_0_42_30_48_31_22_13_46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 59_11_58_27_6_38_9_0_42_30_48_31_22_13_46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 65_59_11_58_27_6_38_9_0_42_30_48_31_22_13_46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 43_65_59_11_58_27_6_38_9_0_42_30_48_31_22_13_46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 40_43_65_59_11_58_27_6_38_9_0_42_30_48_31_22_13_46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 63_40_43_65_59_11_58_27_6_38_9_0_42_30_48_31_22_13_46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 28_63_40_43_65_59_11_58_27_6_38_9_0_42_30_48_31_22_13_46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 70_28_63_40_43_65_59_11_58_27_6_38_9_0_42_30_48_31_22_13_46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 23_70_28_63_40_43_65_59_11_58_27_6_38_9_0_42_30_48_31_22_13_46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 41_23_70_28_63_40_43_65_59_11_58_27_6_38_9_0_42_30_48_31_22_13_46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 35_41_23_70_28_63_40_43_65_59_11_58_27_6_38_9_0_42_30_48_31_22_13_46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 68_35_41_23_70_28_63_40_43_65_59_11_58_27_6_38_9_0_42_30_48_31_22_13_46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 26_68_35_41_23_70_28_63_40_43_65_59_11_58_27_6_38_9_0_42_30_48_31_22_13_46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
467 47_26_68_35_41_23_70_28_63_40_43_65_59_11_58_27_6_38_9_0_42_30_48_31_22_13_46_12_45_32_20_25_1_79_55_4_72_71_75_73_78_54_44_56_49_61_51_18_77_5_66_33_69_53_74_57_76_60_14_62_29_67_34_64_3_36_2_7_15
