method split prec recall MCC auc f1 acc
X 1 0.608695652174 0.595744680851 0.235945571114 0.617872340426 0.602150537634 0.618556701031
X 2 0.605263157895 0.489361702128 0.193868957838 0.594680851064 0.541176470588 0.59793814433
X 3 0.548387096774 0.36170212766 0.0875617601077 0.54085106383 0.435897435897 0.546391752577
X 4 0.634146341463 0.553191489362 0.256151611663 0.626595744681 0.590909090909 0.628865979381
X 5 0.612903225806 0.404255319149 0.176035621883 0.582127659574 0.487179487179 0.587628865979
X 6 0.6 0.382978723404 0.1545992268 0.571489361702 0.467532467532 0.577319587629
X 7 0.6 0.446808510638 0.17358902704 0.583404255319 0.512195121951 0.587628865979
X 8 0.586206896552 0.36170212766 0.132855227278 0.56085106383 0.447368421053 0.567010309278
X 9 0.548387096774 0.36170212766 0.0875617601077 0.54085106383 0.435897435897 0.546391752577
X 10 0.65 0.553191489362 0.277353514498 0.636595744681 0.597701149425 0.639175257732
test on itself: 0.648936170213 0.51914893617 0.261722191458 0.627574468085 0.5768321513 0.630927835052
