method split prec recall MCC auc f1 acc
X 1 0.727272727273 0.6 0.380877537089 0.6875 0.657534246575 0.6875
X 2 0.676470588235 0.589743589744 0.317814331628 0.657371794872 0.630136986301 0.658227848101
X 3 0.648648648649 0.615384615385 0.290944663379 0.645192307692 0.631578947368 0.645569620253
X 4 0.740740740741 0.512820512821 0.356094086946 0.66891025641 0.606060606061 0.670886075949
X 5 0.647058823529 0.564102564103 0.266679235501 0.632051282051 0.602739726027 0.632911392405
X 6 0.65625 0.538461538462 0.268321581222 0.631730769231 0.591549295775 0.632911392405
X 7 0.725 0.74358974359 0.46858974359 0.734294871795 0.73417721519 0.73417721519
X 8 0.763157894737 0.74358974359 0.518922492898 0.759294871795 0.753246753247 0.759493670886
X 9 0.702702702703 0.666666666667 0.392422051489 0.695833333333 0.684210526316 0.696202531646
X 10 0.689655172414 0.512820512821 0.298538289875 0.64391025641 0.588235294118 0.645569620253
test on itself: 0.997422680412 0.989769820972 0.987383464995 0.993634910486 0.993581514763 0.993678887484
