method split prec recall MCC auc f1 acc
rbf 1 0.680412371134 0.578947368421 0.313057251304 0.654691075515 0.625592417062 0.655021834061
rbf 2 0.647058823529 0.578947368421 0.267500187377 0.63295194508 0.611111111111 0.633187772926
rbf 3 0.69387755102 0.59649122807 0.339158452463 0.667810831426 0.641509433962 0.668122270742
rbf 4 0.702127659574 0.58407079646 0.345944907308 0.670296267795 0.63768115942 0.671052631579
rbf 5 0.673076923077 0.619469026549 0.325057414748 0.661908426318 0.645161290323 0.662280701754
rbf 6 0.648351648352 0.522123893805 0.248973495983 0.62193151212 0.578431372549 0.622807017544
rbf 7 0.63829787234 0.530973451327 0.239019323666 0.617660638707 0.579710144928 0.618421052632
rbf 8 0.659793814433 0.566371681416 0.28256384527 0.639707579838 0.609523809524 0.640350877193
rbf 9 0.724489795918 0.628318584071 0.397454911206 0.696767987688 0.672985781991 0.697368421053
rbf 10 0.659574468085 0.548672566372 0.27466118488 0.635205848403 0.599033816425 0.635964912281
test on itself: 0.802139037433 0.661959399823 0.509481848749 0.750544917303 0.725338491296 0.75120455541
