#domain scales aucError bestThresError aucCorr bestCorr thresholdForAccum
ENSP00000341583_36-100 14 0.55 0.06 0.76 0.8 0.82
ENSP00000446732_4-56 78 0.54 0.04 0.75 0.6 0.88
ENSP00000385407_75-140 75 0.58 0.04 0.76 1 0.82
ENSP00000366396_1-255 2 0.58 0.04 0.79 0.3 0.55
ENSP00000437886_261-336 78 0.56 0.06 0.78 0.3 0.74
ENSP00000342181_526-588 0 0.66 0.06 0.76 0.4 0.82
ENSP00000358812_183-258 78 0.54 0.06 0.77 0.4 0.78
ENSP00000386518_74-125 46 0.49 0.04 0.75 0.6 0.86
ENSP00000293677_240-310 75 0.51 0.04 0.77 0 0.48
ENSP00000375836_152-212 4 0.63 0.02 0.76 0.5 0.82
ENSP00000362852_911-962 14 0.54 0.06 0.74 1 0.86
ENSP00000236980_535-619 8 0.59 0.04 0.77 0.7 0.78
ENSP00000421592_115-184 66 0.56 0.04 0.77 0.4 0.78
ENSP00000428749_-6-43 36 0.53 0.04 0.74 0.6 0.88
ENSP00000342408_716-767 0 0.59 0.04 0.75 0.6 0.86
ENSP00000428021_76-147 71 0.53 0.04 0.76 0.6 0.82
ENSP00000424870_16-116 26 0.56 0.06 0.79 0.6 0.74
ENSP00000375836_1054-1117 77 0.58 0.04 0.76 0.6 0.84
ENSP00000307863_151-225 68 0.52 0.04 0.77 0.3 0.76
ENSP00000366604_273-347 78 0.57 0.06 0.77 1 0.8
ENSP00000360034_189-314 0 0.61 0.04 0.79 0.6 0.66
ENSP00000385077_105-163 51 0.61 0.04 0.76 0.5 0.84
ENSP00000375836_300-351 70 0.6 0.04 0.75 0.7 0.86
ENSP00000257829_771-892 78 0.52 0.04 0.8 0 0.44
ENSP00000338173_978-1029 2 0.6 0.04 0.75 0.5 0.84
ENSP00000364912_440-507 21 0.5 0.04 0.76 1 0.82
ENSP00000375836_586-637 75 0.57 0.04 0.75 1 0.86
ENSP00000418748_249-318 36 0.57 0.04 0.77 0.5 0.82
ENSP00000364912_337-407 79 0.57 0.04 0.77 0.3 0.78
ENSP00000223073_489-568 17 0.59 0.06 0.77 0.7 0.78
ENSP00000382239_286-354 36 0.58 0.04 0.77 0.6 0.82
ENSP00000387911_437-523 8 0.52 0.04 0.77 1 0.78
ENSP00000313890_353-412 76 0.59 0.06 0.76 0.5 0.84
ENSP00000338173_934-984 71 0.51 0.04 0.74 1 0.88
ENSP00000390517_6-58 8 0.55 0.04 0.74 0.8 0.88
ENSP00000215793_163-216 33 0.59 0.04 0.75 0.7 0.86
ENSP00000410242_84-157 48 0.5 0.08 0.77 1 0.82
ENSP00000359501_488-552 0 0.65 0.06 0.76 0.5 0.82
ENSP00000265069_369-419 54 0.62 0.04 0.75 0.6 0.86
ENSP00000391114_1-53 78 0.54 0.04 0.74 0.6 0.86
ENSP00000250113_371-528 0 0.64 0.04 0.76 1 0.58
ENSP00000252542_22-72 0 0.6 0.04 0.75 0.7 0.9
ENSP00000410299_65-116 77 0.55 0.04 0.74 0.5 0.84
ENSP00000371212_73-141 25 0.56 0.04 0.76 1 0.84
ENSP00000337926_784-838 70 0.5 0.04 0.75 1 0.88
ENSP00000375836_440-491 75 0.61 0.04 0.74 0.8 0.86
ENSP00000415940_55-117 46 0.48 0.04 0.76 0.2 0.68
ENSP00000376276_16-86 53 0.61 0.04 0.76 0.6 0.82
ENSP00000407848_50-109 71 0.55 0.06 0.76 0.6 0.84
ENSP00000264279_1-66 70 0.48 0.04 0.76 0.6 0.82
ENSP00000258770_369-439 75 0.5 0.04 0.77 0.7 0.82
ENSP00000418748_350-422 33 0.53 0.04 0.78 0.3 0.78
ENSP00000342374_14-111 36 0.57 0.06 0.78 0.6 0.76
ENSP00000326806_56-116 44 0.51 0.04 0.76 0.5 0.84
ENSP00000243498_31-163 75 0.49 0.04 0.78 0.5 0.66
ENSP00000254108_287-365 77 0.58 0.04 0.77 0.3 0.74
ENSP00000442053_732-805 75 0.56 0.04 0.77 0.6 0.8
ENSP00000252116_267-320 4 0.51 0.04 0.75 0.7 0.86
ENSP00000364912_519-583 78 0.55 0.06 0.76 1 0.84
ENSP00000347271_3-101 75 0.57 0.04 0.79 0.2 0.66
ENSP00000218364_291-347 66 0.55 0.04 0.76 1 0.86
ENSP00000349428_186-252 0 0.5 0.04 0.76 0.6 0.82
ENSP00000375836_977-1028 32 0.51 0.04 0.75 0.7 0.88
ENSP00000338173_862-912 71 0.53 0.04 0.74 1 0.86
ENSP00000358799_190-251 36 0.57 0.04 0.76 1 0.84
ENSP00000390625_185-242 0 0.51 0.04 0.76 0.7 0.84
ENSP00000358088_1-53 75 0.6 0.04 0.74 1 0.86
ENSP00000236980_456-528 0 0.5 0.04 0.77 0.7 0.82
ENSP00000258770_565-620 44 0.49 0.04 0.75 0.5 0.84
ENSP00000364813_5-72 46 0.5 0.04 0.77 0.4 0.8
ENSP00000339090_38-108 46 0.52 0.04 0.77 0.6 0.82
ENSP00000311221_56-107 7 0.62 0.04 0.75 1 0.86
ENSP00000264669_488-580 0 0.53 0.04 0.78 0.4 0.74
ENSP00000378127_46-203 19 0.6 0.06 0.76 0.7 0.58
ENSP00000371634_195-258 76 0.58 0.04 0.76 0.7 0.84
ENSP00000375836_875-967 0 0.62 0.04 0.78 0.2 0.68
ENSP00000358563_297-370 0 0.5 0.04 0.77 1 0.8
ENSP00000264669_408-478 70 0.5 0.04 0.77 0.3 0.76
ENSP00000309296_669-817 38 0.51 0.04 0.77 0.1 0.52
ENSP00000215793_49-102 51 0.58 0.04 0.75 1 0.88
ENSP00000318195_509-559 48 0.58 0.06 0.74 0.5 0.86
ENSP00000375836_659-709 19 0.56 0.06 0.75 0.6 0.86
ENSP00000264279_253-401 40 0.5 0.04 0.77 0.2 0.56
ENSP00000240185_193-255 75 0.51 0.04 0.76 1 0.84
ENSP00000371634_511-575 30 0.6 0.04 0.76 0.6 0.84
ENSP00000300413_5-70 48 0.51 0.1 0.77 0.5 0.82
ENSP00000308897_19-78 78 0.55 0.04 0.76 0.5 0.84
ENSP00000366135_506-573 17 0.57 0.08 0.76 0.6 0.82
ENSP00000362576_370-466 23 0.54 0.06 0.78 1 0.74
ENSP00000375836_729-790 79 0.59 0.04 0.76 1 0.86
