#domain scale auc bestThres sens spec
ENSP00000318195_509-559 48 0.593317023495093 2.73 0.46 0.7
ENSP00000427805_79-129 53 0.60034171156456 2.67 0.51 0.66
ENSP00000304350_986-1079 0 0.510126512469254 3.34 0.23 0.81
ENSP00000264279_253-401 40 0.523416770315091 6.13 0.32 0.77
ENSP00000386134_17-98 71 0.533762308896627 3.12 0.55 0.53
ENSP00000223073_489-568 17 0.585566882599567 4.38 0.44 0.7
ENSP00000359042_42-233 0 0.528028120662119 6.08 0.35 0.72
ENSP00000199814_234-299 48 0.533294456352709 5.83 0.43 0.65
ENSP00000366604_273-347 78 0.5906619966756 3.87 0.54 0.61
ENSP00000352678_624-674 75 0.510556765945707 1.77 0.23 0.85
ENSP00000375836_659-709 19 0.566467662297091 2.88 0.67 0.45
ENSP00000308179_803-909 0 0.517698882344333 3.29 0.12 0.93
ENSP00000228284_706-776 47 0.610609039404701 3.55 0.63 0.54
ENSP00000428749_-6-43 36 0.536475301044909 1.38 0.38 0.71
ENSP00000366829_855-905 19 0.580220466818405 3.15 0.77 0.35
ENSP00000400985_1367-1434 74 0.570804438280166 4.38 0.4 0.72
ENSP00000338173_978-1029 2 0.610538205872076 2.45 0.46 0.73
ENSP00000236980_535-619 8 0.598376985202683 3.88 0.56 0.62
ENSP00000411381_135-212 66 0.581601969453034 4 0.56 0.57
ENSP00000436747_428-483 0 0.528737345187317 1.98 0.33 0.75
ENSP00000360034_189-314 0 0.657194634247774 4.88 0.48 0.75
ENSP00000371634_276-341 49 0.552203379145127 5.06 0.5 0.6
ENSP00000338173_718-768 11 0.521907723641557 2.21 0.19 0.88
ENSP00000415250_10-67 79 0.584999183356179 2.5 0.71 0.43
ENSP00000375836_224-284 66 0.601862181053969 0.62 0.55 0.62
ENSP00000431213_135-186 47 0.595869190700245 2.68 0.63 0.54
ENSP00000320184_2-133 71 0.593320976799025 4.37 0.52 0.65
ENSP00000264669_488-580 0 0.531630679490173 3.17 0.31 0.79
ENSP00000359508_283-395 70 0.605481404240528 4.66 0.57 0.6
ENSP00000252542_22-72 0 0.617390263594575 2.16 0.61 0.59
ENSP00000359501_488-552 0 0.658837683352246 3.46 0.47 0.78
ENSP00000433071_18-70 46 0.500966015748799 2.71 0.21 0.84
ENSP00000266022_458-530 76 0.505116234756098 2.99 0.26 0.78
ENSP00000391114_1-53 78 0.540379661457698 2.34 0.57 0.52
ENSP00000341583_36-100 14 0.563579624259236 3.48 0.38 0.76
ENSP00000265872_628-678 53 0.595975486556555 2.12 0.5 0.67
ENSP00000254878_11-129 33 0.524325847908148 4.75 0.38 0.68
ENSP00000307863_151-225 68 0.539321423725364 2.98 0.25 0.83
ENSP00000415726_205-258 0 0.653970003060912 2.92 0.53 0.73
ENSP00000271628_102-173 66 0.566560967360054 3.77 0.42 0.68
ENSP00000367113_521-646 77 0.601400917826039 4.54 0.54 0.63
ENSP00000360582_547-598 75 0.586745370031774 2.42 0.59 0.58
ENSP00000386669_678-745 76 0.52130878829908 3.54 0.3 0.78
ENSP00000358812_1032-1100 36 0.547920713727983 2.88 0.55 0.55
ENSP00000342374_14-111 36 0.60011986814504 5 0.54 0.63
ENSP00000319690_18-81 78 0.566355981459605 2.7 0.4 0.73
ENSP00000387911_437-523 8 0.553891303267299 3.46 0.49 0.63
ENSP00000258770_449-536 75 0.514872901928145 3.5 0.44 0.63
ENSP00000338173_862-912 71 0.541320285462741 1.98 0.48 0.61
ENSP00000366829_131-203 73 0.622550389566396 3.91 0.67 0.52
ENSP00000229390_16-83 36 0.595120413567016 3.37 0.47 0.7
ENSP00000343728_301-351 53 0.57440247974456 2.64 0.49 0.64
ENSP00000437886_261-336 78 0.564637584864515 3.99 0.6 0.5
ENSP00000356520_181-250 36 0.579031571314748 3.42 0.5 0.64
ENSP00000424870_16-116 26 0.573130182152739 5.8 0.53 0.59
ENSP00000236228_340-419 28 0.517676168995794 3.42 0.36 0.68
ENSP00000308897_19-78 78 0.567217000783216 2.34 0.37 0.76
ENSP00000349748_313-367 79 0.598525781931158 1.98 0.4 0.76
ENSP00000264279_1-66 70 0.530249443113521 3.82 0.16 0.92
ENSP00000264669_408-478 70 0.490997590055809 2.46 0.19 0.87
ENSP00000425979_1144-1233 48 0.505735947746662 5.71 0.21 0.83
ENSP00000359645_170-220 0 0.644778214600145 2.98 0.6 0.65
ENSP00000326806_56-116 44 0.505279034690799 2.12 0.28 0.77
ENSP00000442053_732-805 75 0.593738355352304 3.42 0.62 0.53
ENSP00000428456_176-240 66 0.596533644349178 0.82 0.57 0.6
ENSP00000446732_4-56 78 0.546130045426103 2.26 0.38 0.72
ENSP00000390222_873-930 70 0.50276831918162 2.36 0.32 0.75
ENSP00000252542_409-479 75 0.606420175883646 2.94 0.67 0.51
ENSP00000432655_16-66 4 0.617510964511902 1.31 0.65 0.56
ENSP00000385787_107-258 36 0.615121473354232 7.28 0.54 0.65
ENSP00000325376_30-81 0 0.644353836027207 2.75 0.48 0.76
ENSP00000344950_38-97 78 0.556963330500425 2.75 0.61 0.5
ENSP00000311221_56-107 7 0.635598746922158 2.08 0.6 0.63
ENSP00000385077_105-163 51 0.61629351299454 2.63 0.53 0.67
ENSP00000201886_324-386 78 0.567328441950798 2.6 0.6 0.53
ENSP00000375836_509-570 79 0.612304483182834 2.46 0.56 0.62
ENSP00000400513_657-743 4 0.499142061257258 3.29 0.64 0.38
ENSP00000258770_565-620 44 0.50884218099594 2.75 0.17 0.9
ENSP00000366135_506-573 17 0.573940864960282 4.84 0.57 0.56
ENSP00000422700_60-109 44 0.509613473062395 1.48 0.18 0.89
ENSP00000357215_8-58 75 0.59838443343598 2.27 0.31 0.85
ENSP00000353192_558-607 79 0.577144114866702 2.12 0.46 0.69
ENSP00000313829_157-240 77 0.599264989830858 3.42 0.65 0.52
ENSP00000364912_8-74 79 0.600929895347371 2.56 0.52 0.67
ENSP00000418748_249-318 36 0.594068943421202 3.49 0.52 0.65
ENSP00000286070_113-186 8 0.543655784214092 2.87 0.56 0.54
ENSP00000278070_1545-1608 77 0.561485875433557 2.38 0.56 0.55
ENSP00000400513_779-838 75 0.584834149877518 2.92 0.61 0.55
ENSP00000265069_318-368 51 0.603494443700629 2.64 0.57 0.62
ENSP00000338173_826-876 71 0.524370428072396 2.08 0.32 0.76
ENSP00000375836_802-863 78 0.577870927517554 3.15 0.65 0.49
