#domain scale auc bestThres sens spec
ENSP00000318195_509-559 45 0.557309606981584 0.06 0.38 0.73
ENSP00000427805_79-129 77 0.572885939036382 0.04 0.68 0.43
ENSP00000304350_986-1079 9 0.492773237152973 is null
ENSP00000386134_17-98 6 0.511921770598954 0.06 0.38 0.66
ENSP00000257570_166-352 39 0.546354695913195 0.04 0.78 0.3
ENSP00000359042_42-233 54 0.516388793528068 0.04 0.33 0.71
ENSP00000371634_429-492 33 0.508422492713725 0.04 0.31 0.72
ENSP00000352678_624-674 66 0.532903678639386 0.04 0.76 0.31
ENSP00000375836_659-709 41 0.545582346425833 0.06 0.29 0.79
ENSP00000378378_11-90 78 0.606853680363776 0.06 0.59 0.59
ENSP00000308179_803-909 23 0.516958046754957 0.06 0.67 0.38
ENSP00000228284_706-776 45 0.592555597835278 0.08 0.5 0.64
ENSP00000373404_84-165 78 0.580624877017975 0.04 0.44 0.71
ENSP00000366829_855-905 41 0.585606364894088 0.08 0.59 0.56
ENSP00000400985_1367-1434 74 0.561244903963351 0.06 0.43 0.7
ENSP00000338173_978-1029 26 0.520017146525594 0.06 0.72 0.31
ENSP00000411381_135-212 66 0.576339730648335 0.04 0.54 0.6
ENSP00000436747_428-483 8 0.532359319595046 0.04 0.15 0.91
ENSP00000291576_770-877 64 0.513157713435359 0.04 0.08 0.95
ENSP00000338173_718-768 15 0.526622159471269 0.04 0.26 0.81
ENSP00000415250_10-67 43 0.537942925900427 0.06 0.7 0.37
ENSP00000311747_3-66 33 0.522131599874943 0.06 0.7 0.34
ENSP00000320184_2-133 77 0.547394886193321 0.04 0.75 0.34
ENSP00000264669_488-580 54 0.488415227840461 0.04 0.1 0.91
ENSP00000355340_12-190 4 0.500878537192368 0.02 0.12 0.89
ENSP00000252542_22-72 78 0.578025535851215 0.06 0.45 0.69
ENSP00000359501_488-552 65 0.647025385617619 0.06 0.54 0.7
ENSP00000364813_5-72 28 0.482457025175472 0.08 0.99 0.01
ENSP00000341583_36-100 15 0.563216071953936 0.06 0.44 0.7
ENSP00000254108_287-365 77 0.580687881463284 0.04 0.36 0.79
ENSP00000307863_151-225 62 0.520919552902066 0.04 0.22 0.82
ENSP00000400513_657-743 9 0.498407302636271 0.04 0.04 0.98
ENSP00000271628_102-173 66 0.536160789785219 0.04 0.39 0.69
ENSP00000367113_521-646 77 0.58008008008008 0.04 0.43 0.73
ENSP00000360582_547-598 41 0.591602875090405 0.1 0.68 0.46
ENSP00000358812_1032-1100 36 0.545675055089142 0.04 0.19 0.88
ENSP00000359645_170-220 42 0.629079995293679 0.11 0.66 0.53
ENSP00000446732_4-56 76 0.590987306695271 0.04 0.56 0.59
ENSP00000319690_18-81 8 0.523080022073897 0.04 0.37 0.67
ENSP00000308897_19-78 78 0.546596135579663 0.04 0.69 0.38
ENSP00000442053_18-77 78 0.563914371177657 0.06 0.53 0.6
ENSP00000258770_449-536 61 0.532279529060896 0.06 0.54 0.53
ENSP00000338173_862-912 23 0.534888650868032 0.06 0.38 0.69
ENSP00000366829_131-203 73 0.610176363482385 0.06 0.74 0.43
ENSP00000229390_16-83 77 0.577161349976884 0.04 0.7 0.44
ENSP00000343728_301-351 13 0.535168595852757 0.06 0.22 0.87
ENSP00000258770_369-439 15 0.537122653475393 0.06 0.39 0.69
ENSP00000356520_181-250 72 0.580504955545532 0.06 0.75 0.37
ENSP00000424870_16-116 26 0.564526105879489 0.06 0.37 0.74
ENSP00000264279_1-66 19 0.531643760769974 0.04 0.22 0.86
ENSP00000264669_408-478 9 0.461508540503974 0.12 1 0
ENSP00000370713_126-189 78 0.551427774082475 0.04 0.47 0.62
ENSP00000442053_732-805 78 0.583561991869919 0.06 0.66 0.49
ENSP00000236980_456-528 9 0.468976541327913 0.04 0.25 0.76
ENSP00000252542_409-479 75 0.573373287671233 0.04 0.25 0.87
ENSP00000385787_107-258 72 0.596101097178683 0.06 0.73 0.42
ENSP00000325376_30-81 71 0.606594911301267 0.06 0.72 0.43
ENSP00000344950_38-97 66 0.537467296572181 0.04 0.48 0.61
ENSP00000311221_56-107 73 0.597415222214096 0.06 0.71 0.46
ENSP00000384944_128-186 78 0.566389004667791 0.04 0.36 0.76
ENSP00000201886_324-386 47 0.615254073940608 0.06 0.74 0.44
ENSP00000375836_509-570 78 0.566922404197806 0.04 0.49 0.61
ENSP00000252116_267-320 26 0.520055096418733 0.06 0.16 0.88
ENSP00000342181_526-588 77 0.636463915927442 0.08 0.59 0.64
ENSP00000366135_506-573 17 0.567330727524902 0.08 0.67 0.43
ENSP00000422700_60-109 7 0.477187526625202 0.04 0.01 1
ENSP00000223073_130-189 78 0.588236764485327 0.06 0.72 0.41
ENSP00000353192_558-607 79 0.552849758801024 0.04 0.61 0.47
ENSP00000400875_105-214 75 0.573539370876792 0.04 0.26 0.86
ENSP00000364912_8-74 8 0.540656915899634 0.04 0.18 0.89
ENSP00000418748_249-318 74 0.601459050879182 0.06 0.54 0.61
ENSP00000286070_113-186 8 0.523154852642276 0.04 0.23 0.81
ENSP00000400513_779-838 74 0.587676431868553 0.06 0.42 0.72
ENSP00000265069_318-368 44 0.637368801145746 0.06 0.5 0.74
ENSP00000338173_826-876 26 0.515502460675844 0.06 0.36 0.67
ENSP00000375836_802-863 26 0.525936053761371 0.06 0.25 0.79
ENSP00000215793_49-102 65 0.595528007346189 0.06 0.66 0.51
ENSP00000375836_977-1028 24 0.510854725858748 0.06 0.49 0.55
ENSP00000386226_187-274 78 0.557767417464281 0.04 0.25 0.84
ENSP00000429892_125-175 66 0.545409850719585 0.04 0.64 0.43
ENSP00000364912_519-583 8 0.521055562560417 0.04 0.2 0.84
ENSP00000326777_307-372 61 0.539518976169462 0.04 0.29 0.77
ENSP00000385610_233-293 78 0.571757895572463 0.06 0.75 0.37
ENSP00000448455_8-59 13 0.511348006889069 0.06 0.21 0.84
ENSP00000349428_482-549 17 0.575769133778843 0.06 0.6 0.52
ENSP00000223073_489-568 74 0.557149600278513 0.04 0.28 0.8
ENSP00000375836_440-491 74 0.586216143738268 0.06 0.5 0.65
ENSP00000243498_31-163 35 0.49338887496868 0.06 1 0.01
ENSP00000397029_113-181 78 0.571208635788685 0.04 0.3 0.82
ENSP00000429594_1-53 74 0.55649414498972 0.06 0.51 0.59
ENSP00000351409_403-473 26 0.542509090140369 0.06 0.43 0.64
ENSP00000262710_64-114 67 0.54050580784414 0.06 0.48 0.59
ENSP00000386518_74-125 4 0.486547900566404 0.04 0.26 0.74
ENSP00000385077_105-163 77 0.578600741123214 0.04 0.57 0.56
ENSP00000308897_83-155 8 0.551037432249323 0.04 0.25 0.84
ENSP00000410299_65-116 78 0.534568330123439 0.04 0.38 0.69
ENSP00000439856_840-890 41 0.57278468173501 0.1 0.51 0.6
ENSP00000400513_573-643 9 0.473040334855403 0.12 1 0
ENSP00000359345_26-173 78 0.54765236318408 0.04 0.3 0.81
ENSP00000379051_31-279 43 0.525032425421531 0.06 0.13 0.91
ENSP00000431213_135-186 24 0.50025597893659 0.06 0.22 0.82
ENSP00000326128_160-217 66 0.52396901301875 0.04 0.34 0.71
ENSP00000360034_189-314 69 0.632249399157612 0.04 0.58 0.64
ENSP00000432655_452-580 78 0.569603807690041 0.04 0.62 0.51
ENSP00000376276_16-86 66 0.575744123118552 0.04 0.63 0.51
